[2026-04-10T17:20:42.178Z] IP: System | Action: Server Started | Details: {"port":3000}
[2026-04-10T17:20:46.829Z] IP: ::1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=69ka0uhs | Details: undefined
[2026-04-10T17:20:48.851Z] IP: ::1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=69lu82y2 | Details: undefined
[2026-04-10T17:20:54.901Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=69qi7s5c | Details: undefined
[2026-04-10T17:20:56.914Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=69s27jwy | Details: undefined
[2026-04-10T17:21:02.970Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=69wqe6k5 | Details: undefined
[2026-04-10T17:21:09.032Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6a1et8z6 | Details: undefined
[2026-04-10T17:21:15.100Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6a63duzd | Details: undefined
[2026-04-10T17:21:17.150Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6a7nvs5o | Details: undefined
[2026-04-10T17:21:23.180Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6acbrvqc | Details: undefined
[2026-04-10T17:21:25.209Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6adw5zmp | Details: undefined
[2026-04-10T17:21:31.243Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6aijrtna | Details: undefined
[2026-04-10T17:21:33.265Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6ak3y914 | Details: undefined
[2026-04-10T17:21:35.289Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6alo7u7f | Details: undefined
[2026-04-10T17:21:37.313Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6an8f4h2 | Details: undefined
[2026-04-10T17:21:43.344Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6arvwilm | Details: undefined
[2026-04-10T17:21:45.358Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6atftvf8 | Details: undefined
[2026-04-10T17:21:45.374Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /favicon.ico | Details: undefined
[2026-04-10T17:21:51.422Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6ay4bluq | Details: undefined
[2026-04-10T17:21:55.299Z] IP: ::ffff:127.0.0.1 | Action: HTTP POST /register | Details: {"username":"BlackFlaim","password":"fdhsgvdgsavt1245674"}
[2026-04-10T17:21:55.304Z] IP: ::ffff:127.0.0.1 | Action: Register Success | Details: {"username":"BlackFlaim"}
[2026-04-10T17:21:57.491Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6b2swsna | Details: undefined
[2026-04-10T17:22:00.613Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /get-word | Details: undefined
[2026-04-10T17:22:00.614Z] IP: ::ffff:127.0.0.1 | Action: Get Word Generated | Details: {"word":"ШИБЕНИЦЯ"}
[2026-04-10T17:22:03.543Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6b7gx7ab | Details: undefined
[2026-04-10T17:22:05.555Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6b90xhjx | Details: undefined
[2026-04-10T17:22:07.585Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6balbugx | Details: undefined
[2026-04-10T17:22:13.626Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6bf94wty | Details: undefined
[2026-04-10T17:22:15.647Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6bgt6s9r | Details: undefined
[2026-04-10T17:22:17.682Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6bidry59 | Details: undefined
[2026-04-10T17:22:23.735Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6bn1s6ee | Details: undefined
[2026-04-10T17:22:29.797Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6brqatfj | Details: undefined
[2026-04-10T17:22:35.850Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6bwedznu | Details: undefined
[2026-04-10T17:22:37.882Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6bxyv593 | Details: undefined
[2026-04-10T17:22:39.915Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6bzjcgbw | Details: undefined
[2026-04-10T17:22:41.945Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6c13qd7f | Details: undefined
[2026-04-10T17:22:47.992Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6c5ro6j5 | Details: undefined
[2026-04-10T17:22:50.010Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6c7btaz7 | Details: undefined
[2026-04-10T17:22:52.022Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6c8vpc7a | Details: undefined
[2026-04-10T17:22:54.037Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6cafoevu | Details: undefined
[2026-04-10T17:23:00.079Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6cf3gqo5 | Details: undefined
[2026-04-10T17:23:06.117Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6cjr610a | Details: undefined
[2026-04-10T17:23:08.136Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6clb7qct | Details: undefined
[2026-04-10T17:23:14.275Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6cq1tkpp | Details: undefined
[2026-04-10T17:23:16.293Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6crlvz45 | Details: undefined
[2026-04-10T17:23:18.313Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6ct5yp4d | Details: undefined
[2026-04-10T17:23:20.338Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6cuq78zh | Details: undefined
[2026-04-10T17:23:22.362Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6cwafg7n | Details: undefined
[2026-04-10T17:23:24.392Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6cxurwpk | Details: undefined
[2026-04-10T17:23:26.419Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6czf4pao | Details: undefined
[2026-04-10T17:23:32.460Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6d42u7u6 | Details: undefined
[2026-04-10T17:23:38.503Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6d8qsw10 | Details: undefined
[2026-04-10T17:23:40.529Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6dab2sb9 | Details: undefined
[2026-04-10T17:23:42.557Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6dbvgzaf | Details: undefined
[2026-04-10T17:23:48.606Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6dgjfwlb | Details: undefined
[2026-04-10T17:23:50.631Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6di3oqcu | Details: undefined
[2026-04-10T17:23:56.683Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6dmrqkl4 | Details: undefined
[2026-04-10T17:24:02.726Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6drfo6qv | Details: undefined
[2026-04-10T17:24:04.749Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6dszvo3h | Details: undefined
[2026-04-10T17:24:06.764Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6duju589 | Details: undefined
[2026-04-10T17:24:08.791Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6dw44eux | Details: undefined
[2026-04-10T17:24:10.828Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6dxom7ex | Details: undefined
[2026-04-10T17:24:12.852Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6dz8yfll | Details: undefined
[2026-04-10T17:24:14.886Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6e0tct12 | Details: undefined
[2026-04-10T17:24:16.921Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6e2dtkx4 | Details: undefined
[2026-04-10T17:24:22.973Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6e721jru | Details: undefined
[2026-04-10T17:24:24.992Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6e8m469r | Details: undefined
[2026-04-10T17:24:27.030Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6ea6qi82 | Details: undefined
[2026-04-10T17:24:33.101Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6eevdkxw | Details: undefined
[2026-04-10T17:24:39.164Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6ejjslk3 | Details: undefined
[2026-04-10T17:24:45.217Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6eo7ztyw | Details: undefined
[2026-04-10T17:24:51.285Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6eswjtmd | Details: undefined
[2026-04-10T17:24:57.340Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6exkqjnp | Details: undefined
[2026-04-10T17:24:59.370Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6ez5532o | Details: undefined
[2026-04-10T17:25:05.434Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6f3tjnd5 | Details: undefined
[2026-04-10T17:25:11.450Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6f8go1i6 | Details: undefined
[2026-04-10T17:25:17.522Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6fd5amvr | Details: undefined
[2026-04-10T17:25:19.543Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6feph9up | Details: undefined
[2026-04-10T17:25:21.566Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6fg9oq9o | Details: undefined
[2026-04-10T17:25:23.585Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6fhtru28 | Details: undefined
[2026-04-10T17:25:25.604Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6fjduf0b | Details: undefined
[2026-04-10T17:25:31.644Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6fo1m3pw | Details: undefined
[2026-04-10T17:25:33.665Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6fplrp2o | Details: undefined
[2026-04-10T17:25:35.689Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6fr5zlcc | Details: undefined
[2026-04-10T17:25:37.720Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6fsqevtt | Details: undefined
[2026-04-10T17:25:39.742Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6fuak20g | Details: undefined
[2026-04-10T17:25:41.764Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6fvurkol | Details: undefined
[2026-04-10T17:25:47.811Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6g0ipnxd | Details: undefined
[2026-04-10T17:25:49.823Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6g22l9cn | Details: undefined
[2026-04-10T17:25:51.851Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6g3mxgri | Details: undefined
[2026-04-10T17:25:57.899Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6g8awxzc | Details: undefined
[2026-04-10T17:26:03.939Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6gcyoo3u | Details: undefined
[2026-04-10T17:26:10.014Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6ghnf0i4 | Details: undefined
[2026-04-10T17:26:12.043Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6gj7t4n6 | Details: undefined
[2026-04-10T17:26:18.086Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6gnvnqhj | Details: undefined
[2026-04-10T17:26:24.131Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6gsjj2mj | Details: undefined
[2026-04-10T17:26:26.161Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6gu3z25b | Details: undefined
[2026-04-10T17:26:32.279Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6gytvq67 | Details: undefined
[2026-04-10T17:26:34.309Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6h0e80xe | Details: undefined
[2026-04-10T17:26:36.335Z] IP: ::ffff:127.0.0.1 | Action: HTTP GET /socket.io/?EIO=4&transport=polling&t=6h1yk7x6 | Details: undefined
